date,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
12/1/2018,RACE IM Equity,PYPL US Equity,V US Equity,CRM US Equity,ADBE US Equity,MTN US Equity,ETSY US Equity,PLNT US Equity,MSFT US Equity,RAMP US Equity,CHTR US Equity,MA US Equity,MCD US Equity,QSR US Equity,LYV US Equity
1/1/2019,CRM US Equity,RACE IM Equity,ADBE US Equity,V US Equity,PYPL US Equity,CHTR US Equity,PLNT US Equity,ETSY US Equity,MSFT US Equity,MA US Equity,RAMP US Equity,MTN US Equity,QSR US Equity,LYV US Equity,MCD US Equity
2/1/2019,CRM US Equity,RACE IM Equity,PYPL US Equity,ETSY US Equity,PLNT US Equity,ADBE US Equity,V US Equity,RAMP US Equity,MA US Equity,CHTR US Equity,NOW US Equity,PLAN US Equity,AYX US Equity,MCD US Equity,MSFT US Equity
3/1/2019,CRM US Equity,RACE IM Equity,PYPL US Equity,PLNT US Equity,ETSY US Equity,NOW US Equity,V US Equity,CHTR US Equity,PLAN US Equity,MA US Equity,RAMP US Equity,ADBE US Equity,AYX US Equity,QSR US Equity,MSFT US Equity
4/1/2019,CRM US Equity,RACE IM Equity,PLNT US Equity,PYPL US Equity,PLAN US Equity,ETSY US Equity,CHTR US Equity,NOW US Equity,MA US Equity,V US Equity,AYX US Equity,DIS US Equity,MSFT US Equity,ADBE US Equity,LYV US Equity
5/1/2019,RACE IM Equity,PYPL US Equity,CRM US Equity,PLNT US Equity,NOW US Equity,CHTR US Equity,ETSY US Equity,MA US Equity,AYX US Equity,V US Equity,PLAN US Equity,DIS US Equity,MSFT US Equity,ADBE US Equity,LYV US Equity
6/1/2019,RACE IM Equity,PYPL US Equity,AYX US Equity,PLNT US Equity,CRM US Equity,NOW US Equity,PLAN US Equity,CHTR US Equity,MA US Equity,V US Equity,DIS US Equity,ETSY US Equity,MSFT US Equity,ADBE US Equity,LYV US Equity
7/1/2019,RACE IM Equity,PLNT US Equity,AYX US Equity,CRM US Equity,PYPL US Equity,NOW US Equity,PLAN US Equity,MA US Equity,CHTR US Equity,DIS US Equity,MSFT US Equity,V US Equity,ETSY US Equity,ADBE US Equity,LYV US Equity
8/1/2019,RACE IM Equity,PLAN US Equity,DG US Equity,AYX US Equity,PLNT US Equity,CRM US Equity,CHTR US Equity,NOW US Equity,MA US Equity,MSFT US Equity,DIS US Equity,PYPL US Equity,V US Equity,ETSY US Equity,ADBE US Equity
9/1/2019,RACE IM Equity,DG US Equity,PLNT US Equity,AYX US Equity,ETSY US Equity,MA US Equity,CHTR US Equity,QSR US Equity,MSFT US Equity,LYV US Equity,PYPL US Equity,V US Equity,PLAN US Equity,MCD US Equity,COUP US Equity
10/1/2019,RACE IM Equity,PLNT US Equity,DG US Equity,MSFT US Equity,MA US Equity,AYX US Equity,CHTR US Equity,ETSY US Equity,NOW US Equity,LYV US Equity,V US Equity,6758 JP Equity,PYPL US Equity,CRM US Equity,ADBE US Equity
