date,MTN US Equity,RACE IM Equity,QSR US Equity,PYPL US Equity,CRM US Equity,MSFT US Equity,DG US Equity,NYT US Equity,LYV US Equity,FND US Equity,CMG US Equity,EXPE US Equity,6758 JP Equity,ETSY US Equity,ADBE US Equity,PLNT US Equity,PLAN US Equity,AYX US Equity,V US Equity,NOW US Equity,SAIL US Equity,CFR SW Equity,ADS GR Equity,MA US Equity,CHTR US Equity,BBWI US Equity,VIV FP Equity,COUP US Equity,Z US Equity,ABNB US Equity,SQ TB Equity,NEWR US Equity,LW US Equity,CXM US Equity,AENA SM Equity,FDC US Equity,BKNG US Equity,OKTA US Equity,AMZN US Equity,WP US Equity,PHIA NA Equity,RAMP US Equity,BURL US Equity,SPLK US Equity,DPZ US Equity,EL FP Equity,DIS US Equity,BILL US Equity,ORLY US Equity,STZ US Equity,EVD GR Equity,GO US Equity,MCD US Equity,NFLX US Equity,TTWO US Equity,INTU US Equity,WLN FP Equity,SNAP US Equity,GOOGL US Equity,DATA US Equity,RH US Equity,MC FP Equity,7974 JP Equity,DLTR US Equity,ZEN US Equity,BBY US Equity,SHOP US Equity,EL US Equity,GLBE US Equity
2/1/2020,234.51,152.5,61.01,113.89,182.31,170.23,153.41,32.01,68.16,49.31,17.3352,108.45,1543.6,48.81,351.14,80.79,57.59,139.47,198.97,338.23,#N/A,70.64,284.35,315.94,517.46,18.71754144,1.595808283,161.15,46.21,#N/A,1.73,66.01,91.31,#N/A,16.715,#N/A,1830.55,128.05,100.436,#N/A,37.55885694,40.24,217.47,155.26,281.75,134.25,138.31,50.32,27.07333333,188.3,55.85,32.74,213.97,345.09,124.64,280.38,63.75,18.38,71.639,#N/A,208.75,395.3,4077,87.07,86.4,84.69,46.566,195.16,#N/A
3/1/2020,212.61,141.55,58.5,107.99,170.4,162.01,150.3,37.46,60.77,51.05,15.4716,98.62,1322.2,57.81,345.12,67.49,44.94,139.62,181.76,326.09,#N/A,65.4,247.55,290.25,493.17,17.50526544,1.483663436,149.75,55.81,#N/A,1.51,56.26,86.89,#N/A,14.5,#N/A,1695.66,128.06,94.1875,#N/A,35.12751064,35.44,216.26,147.33,339.46,123.1,117.65,56.76,24.58133333,172.38,47.48,31.65,194.17,369.03,107.48,265.85,68.85,14.17,66.9625,#N/A,181.4,370.85,3627,83.03,79.31,75.65,46.331,183.6,#N/A
4/1/2020,141.33,136.65,36.49,91.38,134.06,152.11,153.16,28.44,38.88,28.33,12.3872,52,1245.6,35.45,301.21,42.34,28.39,88.56,153.11,273.07,0,50.4,196.95,228.61,424.03,8.26772232,1.284509656,131.59,31.44,#N/A,1.11,44.92,51,#N/A,9.8,#N/A,1271.63,119.57,95.385,#N/A,32.46935966,27.87,146,109.69,333.77,93.78,94.92,31.75,19.15,136.88,38.3,34.42,158.17,364.08,116.33,218.12,51.66,11.21,55.105,#N/A,88.63,324.65,4195,72.94,62.49,53.9,38.467,153.38,#N/A
5/1/2020,167.91,143.4,48.32,120.61,156.37,174.57,173,32.45,41.17,41.93,17.4984,67.29,1361.2,64.445,343.84,57.62,39.06,105.75,175.57,339.51,0,54.82,209.3,268.74,509.64,9.698208,1.270008167,171.24,42.46,#N/A,1.6,50.28,58.35,#N/A,11.55,#N/A,1448.79,148.84,114.302,#N/A,36.03019332,36.73,179.46,134.05,357.3,112.65,105.5,55.73,25.09133333,161.57,38.02,33.18,182.66,415.27,122.65,261.13,61.98,16.79,65.866,#N/A,137.46,352.45,4465,77.39,72.55,72.26,61.364,172.54,#N/A
6/1/2020,193.74,152.15,55.82,154.53,176.36,182.83,191.5,39.41,50.66,51.13,20.9576,82.42,1394.6,78.59,389.68,67.59,45.92,146.06,194.35,383.37,0,55.88,241.9,301.4,541.3,13.36736336,1.338004037,233.96,58.22,#N/A,2.16,67.97,61.59,#N/A,13.14,#N/A,1670.73,204.78,123.552,#N/A,37.11885584,49.16,206.77,186.56,383.58,117.8,118.77,72.53,27.84,173.25,40.86,36.03,187.41,425.92,136.22,289.95,68.48,19.55,71.7435,#N/A,212.57,378.9,4446,96.25,87.56,77.5,75.8,200.43,#N/A
7/1/2020,183.23,151.45,54.66,177.43,191.89,204.7,190.9,42.62,46.02,57.64,21.3672,84.44,1486.4,111.21,439.81,62.19,47.01,175.22,193.78,416.79,0,60.08,235.3,301.17,521.91,12.2035784,1.469484202,287.79,58.91,#N/A,2.06,71.8,63.42,#N/A,12.1,#N/A,1658.79,210.92,143.935,#N/A,39.0010703,43.69,195.72,203.61,375.71,115.55,113.01,89.91,28.40533333,185.88,38.08,41.39,184.66,485.64,144.11,302.58,77.76,23.72,72.1,#N/A,259.66,391.6,4779,93.39,89.24,87.35,101.664,189.33,#N/A
8/1/2020,192.03,151.35,56.52,196.07,194.85,205.01,190.4,46.14,46.81,65.9,23.1032,81.01,1615.2,118.38,444.32,52.2,45.41,175.49,190.4,439.2,0,56.5,233.6,308.53,580,19.72777144,1.443703778,306.45,68.39,#N/A,1.59,70.91,60.08,#N/A,11.03,#N/A,1662.13,220.98,158.234,#N/A,40.62553638,45.57,188,209.82,386.61,112.2,116.94,93.11,31.82533333,178.2,33.38,43.99,194.28,488.88,164.02,306.37,72.72,22.42,74.3975,#N/A,287.43,366.75,4644,93.35,91.15,99.59,102.4,197.54,#N/A
9/1/2020,220.29,163.05,54.92,208.93,281.25,227.27,199.9,43.72,57.2,75.47,27.4444,99.25,1669.8,125.05,527.95,60.91,62.49,121.85,213.35,497.19,0,60.5,254.4,356.9,617.24,25.49012336,1.538446838,344.42,88.44,#N/A,1.63,62.8,61.33,#N/A,12.66,#N/A,1928.86,224.5,174.956,#N/A,36.99709932,58.82,201.63,223.59,410.15,109.7,133.55,98.33,31.54666667,185.94,40.8,42.23,212.69,556.55,172.5,347.18,79.08,22.41,82.754,#N/A,340.84,396.7,5859,93.68,103.1,113.5,113.432,220.99,#N/A
10/1/2020,215.1,156.9,57.75,196.94,253.45,212.46,211.52,43.87,53.74,76.39,24.7604,92.06,1606.4,131.69,499.51,63.53,63.97,117.59,203.35,492.52,0,62.16,278.2,343.37,635.11,26.84787248,1.531357221,279.84,107.53,#N/A,1.63,57.35,66.67,#N/A,11.61,#N/A,1742.98,219.3,161.063,#N/A,37.35809178,52.42,208.54,192.56,426.99,115.25,123.31,101.64,30.904,184.61,41.48,40.29,219.59,527.51,166.11,332.34,72.18,26.78,74.395,#N/A,379.28,409.7,5966,91.87,104.36,114.09,105.443,219.53,#N/A
11/1/2020,232.04,153.15,52,186.13,232.27,202.47,208.71,39.66,48.8,73,24.0296,94.15,1734.8,121.59,447.1,59.27,55.35,125.35,181.71,497.57,0,57.5,256.2,288.64,603.82,25.86996984,1.597741815,267.7,88.62,#N/A,1.5,60.66,63.45,#N/A,11.56,#N/A,1622.5,209.83,151.8075,#N/A,36.90916526,66.09,193.58,198.04,378.32,106.2,121.25,100,29.10666667,165.23,38.12,44.02,213,475.74,154.92,314.68,63.64,39.39,80.8055,#N/A,335.23,402.3,5698,90.32,110.94,111.55,92.543,219.66,#N/A
